x-axis,1,2,3
second,Volt,Volt,Volt
+8.600000E-03,+11.703125000E+00,+3.970703125E+00,-978.124976E-03
+8.605000E-03,+11.703125000E+00,+4.058593750E+00,-983.984351E-03
+8.610000E-03,+11.703125000E+00,+4.156250000E+00,-991.796851E-03
+8.615000E-03,+11.703125000E+00,+4.253906250E+00,-997.656226E-03
+8.620000E-03,+11.703125000E+00,+4.351562500E+00,-1.003515601E+00
+8.625000E-03,+11.703125000E+00,+4.439453125E+00,-1.009374976E+00
+8.630000E-03,+11.703125000E+00,+4.527343750E+00,-1.013281226E+00
+8.635000E-03,+11.703125000E+00,+4.615234375E+00,-1.019140601E+00
+8.640000E-03,+11.703125000E+00,+4.712890625E+00,-1.021093726E+00
+8.645000E-03,+11.703125000E+00,+4.810546875E+00,-1.024999976E+00
+8.650000E-03,+11.703125000E+00,+4.898437500E+00,-1.026953101E+00
+8.655000E-03,+11.703125000E+00,+4.996093750E+00,-1.030859351E+00
+8.660000E-03,-2.046875000E+00,+5.064453125E+00,-1.032812476E+00
+8.665000E-03,-12.125000000E+00,+4.976562500E+00,-1.030859351E+00
+8.670000E-03,-12.125000000E+00,+4.878906250E+00,-1.026953101E+00
+8.675000E-03,-12.125000000E+00,+4.781250000E+00,-1.023046851E+00
+8.680000E-03,-12.164062500E+00,+4.683593750E+00,-1.019140601E+00
+8.685000E-03,-12.203125000E+00,+4.585937500E+00,-1.015234351E+00
+8.690000E-03,-12.203125000E+00,+4.488281250E+00,-1.011328101E+00
+8.695000E-03,-12.242187500E+00,+4.400390625E+00,-1.005468726E+00
+8.700000E-03,-12.242187500E+00,+4.302734375E+00,-999.609351E-03
+8.705000E-03,-12.242187500E+00,+4.205078125E+00,-993.749976E-03
+8.710000E-03,-12.281250000E+00,+4.117187500E+00,-985.937476E-03
+8.715000E-03,-12.281250000E+00,+4.019531250E+00,-978.124976E-03
+8.720000E-03,-12.320312500E+00,+3.912109375E+00,-968.359351E-03
+8.725000E-03,-12.320312500E+00,+3.804687500E+00,-958.593726E-03
+8.730000E-03,-12.320312500E+00,+3.697265625E+00,-946.874976E-03
+8.735000E-03,-12.320312500E+00,+3.599609375E+00,-935.156226E-03
+8.740000E-03,-12.359375000E+00,+3.501953125E+00,-923.437476E-03
+8.745000E-03,-12.359375000E+00,+3.404296875E+00,-909.765601E-03
+8.750000E-03,-12.359375000E+00,+3.316406250E+00,-896.093726E-03
+8.755000E-03,-12.359375000E+00,+3.218750000E+00,-880.468726E-03
+8.760000E-03,-12.398437500E+00,+3.111328125E+00,-862.890601E-03
+8.765000E-03,-12.359375000E+00,+3.013671875E+00,-845.312476E-03
+8.770000E-03,-12.398437500E+00,+2.916015625E+00,-827.734351E-03
+8.775000E-03,-12.359375000E+00,+2.818359375E+00,-808.203101E-03
+8.780000E-03,-12.398437500E+00,+2.710937500E+00,-788.671851E-03
+8.785000E-03,-12.398437500E+00,+2.613281250E+00,-769.140601E-03
+8.790000E-03,-12.398437500E+00,+2.515625000E+00,-747.656226E-03
+8.795000E-03,-12.398437500E+00,+2.417968750E+00,-724.218726E-03
+8.800000E-03,-12.398437500E+00,+2.310546875E+00,-700.781226E-03
+8.805000E-03,-12.398437500E+00,+2.212890625E+00,-677.343726E-03
+8.810000E-03,-12.437500000E+00,+2.115234375E+00,-651.953101E-03
+8.815000E-03,-12.437500000E+00,+2.007812500E+00,-626.562476E-03
+8.820000E-03,-12.437500000E+00,+1.900390625E+00,-601.171851E-03
+8.825000E-03,-12.437500000E+00,+1.802734375E+00,-575.781226E-03
+8.830000E-03,-12.437500000E+00,+1.695312500E+00,-550.390601E-03
+8.835000E-03,-12.437500000E+00,+1.587890625E+00,-523.046851E-03
+8.840000E-03,-12.476562500E+00,+1.490234375E+00,-495.703101E-03
+8.845000E-03,-12.476562500E+00,+1.402343750E+00,-466.406226E-03
+8.850000E-03,-12.476562500E+00,+1.294921875E+00,-437.109351E-03
+8.855000E-03,-12.437500000E+00,+1.187500000E+00,-405.859351E-03
+8.860000E-03,-12.437500000E+00,+1.080078125E+00,-376.562476E-03
+8.865000E-03,-12.476562500E+00,+982.421875E-03,-347.265601E-03
+8.870000E-03,-12.476562500E+00,+875.000000E-03,-316.015601E-03
+8.875000E-03,-12.476562500E+00,+777.343750E-03,-284.765601E-03
+8.880000E-03,-12.476562500E+00,+689.453125E-03,-253.515601E-03
+8.885000E-03,-12.476562500E+00,+591.796875E-03,-220.312476E-03
+8.890000E-03,-12.476562500E+00,+474.609375E-03,-189.062476E-03
+8.895000E-03,-12.476562500E+00,+367.187500E-03,-155.859351E-03
+8.900000E-03,-12.476562500E+00,+279.296875E-03,-122.656226E-03
+8.905000E-03,-12.476562500E+00,+181.640625E-03,-91.406226E-03
+8.910000E-03,-12.476562500E+00,+83.984375E-03,-56.249976E-03
+8.915000E-03,-12.476562500E+00,-13.671875E-03,-24.999976E-03
+8.920000E-03,-12.476562500E+00,-121.093750E-03,+6.250024E-03
+8.925000E-03,-12.476562500E+00,-218.750000E-03,+39.453149E-03
+8.930000E-03,-12.476562500E+00,-316.406250E-03,+70.703149E-03
+8.935000E-03,-12.476562500E+00,-414.062500E-03,+103.906274E-03
+8.940000E-03,-12.476562500E+00,-501.953125E-03,+135.156274E-03
+8.945000E-03,-12.476562500E+00,-609.375000E-03,+166.406274E-03
+8.950000E-03,-12.476562500E+00,-697.265625E-03,+199.609399E-03
+8.955000E-03,-12.476562500E+00,-804.687500E-03,+228.906274E-03
+8.960000E-03,-12.476562500E+00,-902.343750E-03,+262.109399E-03
+8.965000E-03,-12.476562500E+00,-1.000000000E+00,+293.359399E-03
+8.970000E-03,-12.476562500E+00,-1.097656250E+00,+322.656274E-03
+8.975000E-03,-12.476562500E+00,-1.195312500E+00,+353.906274E-03
+8.980000E-03,-12.476562500E+00,-1.292968750E+00,+383.203149E-03
+8.985000E-03,-12.476562500E+00,-1.390625000E+00,+410.546899E-03
+8.990000E-03,-12.476562500E+00,-1.498046875E+00,+439.843774E-03
+8.995000E-03,-12.476562500E+00,-1.585937500E+00,+467.187524E-03
+9.000000E-03,-12.476562500E+00,-1.683593750E+00,+492.578149E-03
+9.005000E-03,-12.476562500E+00,-1.771484375E+00,+519.921899E-03
+9.010000E-03,-12.476562500E+00,-1.878906250E+00,+549.218774E-03
+9.015000E-03,-12.515625000E+00,-1.976562500E+00,+574.609399E-03
+9.020000E-03,-12.476562500E+00,-2.064453125E+00,+601.953149E-03
+9.025000E-03,-12.476562500E+00,-2.162109375E+00,+627.343774E-03
+9.030000E-03,-12.476562500E+00,-2.259765625E+00,+654.687524E-03
+9.035000E-03,-12.476562500E+00,-2.347656250E+00,+678.125024E-03
+9.040000E-03,-12.515625000E+00,-2.455078125E+00,+701.562524E-03
+9.045000E-03,-12.515625000E+00,-2.552734375E+00,+725.000024E-03
+9.050000E-03,-12.515625000E+00,-2.650390625E+00,+746.484399E-03
+9.055000E-03,-12.515625000E+00,-2.748046875E+00,+767.968774E-03
+9.060000E-03,-12.515625000E+00,-2.845703125E+00,+787.500024E-03
+9.065000E-03,-12.515625000E+00,-2.943359375E+00,+805.078149E-03
+9.070000E-03,-12.515625000E+00,-3.031250000E+00,+824.609399E-03
+9.075000E-03,-12.515625000E+00,-3.119140625E+00,+840.234399E-03
+9.080000E-03,-12.515625000E+00,-3.207031250E+00,+857.812524E-03
+9.085000E-03,-12.515625000E+00,-3.294921875E+00,+873.437524E-03
+9.090000E-03,-12.515625000E+00,-3.392578125E+00,+889.062524E-03
+9.095000E-03,-12.515625000E+00,-3.490234375E+00,+902.734399E-03
+9.100000E-03,-12.515625000E+00,-3.587890625E+00,+916.406274E-03
+9.105000E-03,-12.515625000E+00,-3.685546875E+00,+926.171899E-03
+9.110000E-03,-12.515625000E+00,-3.783203125E+00,+937.890649E-03
+9.115000E-03,-12.515625000E+00,-3.880859375E+00,+949.609399E-03
+9.120000E-03,-12.515625000E+00,-3.978515625E+00,+959.375024E-03
+9.125000E-03,-12.515625000E+00,-4.085937500E+00,+967.187524E-03
+9.130000E-03,-12.515625000E+00,-4.183593750E+00,+975.000024E-03
+9.135000E-03,-12.515625000E+00,-4.271484375E+00,+982.812524E-03
+9.140000E-03,-12.515625000E+00,-4.369140625E+00,+990.625024E-03
+9.145000E-03,-12.515625000E+00,-4.466796875E+00,+994.531274E-03
+9.150000E-03,-12.476562500E+00,-4.574218750E+00,+1.000390649E+00
+9.155000E-03,-12.476562500E+00,-4.681640625E+00,+1.006250024E+00
+9.160000E-03,-12.437500000E+00,-4.779296875E+00,+1.010156274E+00
+9.165000E-03,-9.820312500E+00,-4.867187500E+00,+1.014062524E+00
+9.170000E-03,+10.726562500E+00,-4.867187500E+00,+1.014062524E+00
+9.175000E-03,+11.351562500E+00,-4.769531250E+00,+1.010156274E+00
+9.180000E-03,+11.351562500E+00,-4.671875000E+00,+1.006250024E+00
+9.185000E-03,+11.390625000E+00,-4.554687500E+00,+1.000390649E+00
+9.190000E-03,+11.390625000E+00,-4.457031250E+00,+994.531274E-03
+9.195000E-03,+11.429687500E+00,-4.349609375E+00,+988.671899E-03
+9.200000E-03,+11.429687500E+00,-4.251953125E+00,+980.859399E-03
+9.205000E-03,+11.429687500E+00,-4.154296875E+00,+971.093774E-03
+9.210000E-03,+11.429687500E+00,-4.046875000E+00,+963.281274E-03
+9.215000E-03,+11.468750000E+00,-3.949218750E+00,+953.515649E-03
+9.220000E-03,+11.468750000E+00,-3.851562500E+00,+943.750024E-03
+9.225000E-03,+11.507812500E+00,-3.753906250E+00,+932.031274E-03
+9.230000E-03,+11.507812500E+00,-3.666015625E+00,+920.312524E-03
+9.235000E-03,+11.507812500E+00,-3.558593750E+00,+906.640649E-03
+9.240000E-03,+11.507812500E+00,-3.460937500E+00,+891.015649E-03
+9.245000E-03,+11.507812500E+00,-3.353515625E+00,+877.343774E-03
+9.250000E-03,+11.546875000E+00,-3.265625000E+00,+861.718774E-03
+9.255000E-03,+11.546875000E+00,-3.177734375E+00,+844.140649E-03
