x-axis,MATH
Hertz,dBV
+3.96000E+03,-60.12329E+00
+3.98000E+03,-67.90161E+00
+4.00000E+03,-75.11230E+00
+4.02000E+03,-77.19238E+00
+4.04000E+03,-79.66797E+00
+4.06000E+03,-87.11060E+00
+4.08000E+03,-93.09082E+00
+4.10000E+03,-93.66333E+00
+4.12000E+03,-91.39771E+00
+4.14000E+03,-95.16113E+00
+4.16000E+03,-97.97363E+00
+4.18000E+03,-91.38916E+00
+4.20000E+03,-85.82275E+00
+4.22000E+03,-85.24048E+00
+4.24000E+03,-86.93848E+00
+4.26000E+03,-92.04468E+00
+4.28000E+03,-96.04614E+00
+4.30000E+03,-92.35718E+00
+4.32000E+03,-88.73779E+00
+4.34000E+03,-90.35034E+00
+4.36000E+03,-90.16846E+00
+4.38000E+03,-85.10742E+00
+4.40000E+03,-82.14111E+00
+4.42000E+03,-82.59033E+00
+4.44000E+03,-85.30396E+00
+4.46000E+03,-90.47852E+00
+4.48000E+03,-93.14331E+00
+4.50000E+03,-93.66699E+00
+4.52000E+03,-95.43091E+00
+4.54000E+03,-91.63574E+00
+4.56000E+03,-87.03857E+00
+4.58000E+03,-87.18384E+00
+4.60000E+03,-89.21265E+00
+4.62000E+03,-89.65332E+00
+4.64000E+03,-89.18091E+00
+4.66000E+03,-91.17676E+00
+4.68000E+03,-88.32520E+00
+4.70000E+03,-85.36499E+00
+4.72000E+03,-87.11792E+00
+4.74000E+03,-85.00610E+00
+4.76000E+03,-85.66406E+00
+4.78000E+03,-91.61133E+00
+4.80000E+03,-89.66675E+00
+4.82000E+03,-77.87842E+00
+4.84000E+03,-70.42969E+00
+4.86000E+03,-66.51001E+00
+4.88000E+03,-64.52881E+00
+4.90000E+03,-65.05981E+00
+4.92000E+03,-68.38135E+00
+4.94000E+03,-74.60083E+00
+4.96000E+03,-82.08374E+00
+4.98000E+03,-86.14868E+00
+5.00000E+03,-85.31860E+00
+5.02000E+03,-82.85889E+00
+5.04000E+03,-83.29712E+00
+5.06000E+03,-84.13818E+00
+5.08000E+03,-81.88599E+00
+5.10000E+03,-79.36157E+00
+5.12000E+03,-81.13892E+00
+5.14000E+03,-89.37012E+00
+5.16000E+03,-92.02393E+00
+5.18000E+03,-86.60767E+00
+5.20000E+03,-85.50293E+00
+5.22000E+03,-87.34863E+00
+5.24000E+03,-87.93457E+00
+5.26000E+03,-86.71143E+00
+5.28000E+03,-85.40283E+00
+5.30000E+03,-84.54956E+00
+5.32000E+03,-85.13794E+00
+5.34000E+03,-86.20239E+00
+5.36000E+03,-86.33179E+00
+5.38000E+03,-85.20508E+00
+5.40000E+03,-87.52441E+00
+5.42000E+03,-92.39380E+00
+5.44000E+03,-92.29248E+00
+5.46000E+03,-89.15283E+00
+5.48000E+03,-88.31299E+00
+5.50000E+03,-96.46240E+00
+5.52000E+03,-102.14966E+00
+5.54000E+03,-94.16016E+00
+5.56000E+03,-88.49731E+00
+5.58000E+03,-92.15698E+00
+5.60000E+03,-92.48291E+00
+5.62000E+03,-87.26440E+00
+5.64000E+03,-86.08765E+00
+5.66000E+03,-85.34668E+00
+5.68000E+03,-83.90503E+00
+5.70000E+03,-82.17896E+00
+5.72000E+03,-83.54370E+00
+5.74000E+03,-87.11670E+00
+5.76000E+03,-88.81470E+00
+5.78000E+03,-88.53271E+00
+5.80000E+03,-83.97095E+00
+5.82000E+03,-77.37427E+00
+5.84000E+03,-73.52417E+00
+5.86000E+03,-72.63916E+00
+5.88000E+03,-74.19312E+00
+5.90000E+03,-77.65747E+00
+5.92000E+03,-82.59766E+00
+5.94000E+03,-91.84814E+00
+5.96000E+03,-97.53540E+00
+5.98000E+03,-92.42188E+00
+6.00000E+03,-86.69800E+00
+6.02000E+03,-85.88013E+00
+6.04000E+03,-86.19873E+00
+6.06000E+03,-86.23169E+00
+6.08000E+03,-88.43628E+00
+6.10000E+03,-88.51929E+00
+6.12000E+03,-85.35522E+00
+6.14000E+03,-82.25464E+00
+6.16000E+03,-82.91016E+00
+6.18000E+03,-84.84497E+00
+6.20000E+03,-86.27319E+00
+6.22000E+03,-88.94897E+00
+6.24000E+03,-91.18774E+00
+6.26000E+03,-91.07178E+00
+6.28000E+03,-89.32983E+00
+6.30000E+03,-87.48535E+00
+6.32000E+03,-86.07666E+00
+6.34000E+03,-85.88623E+00
+6.36000E+03,-86.69800E+00
+6.38000E+03,-90.14771E+00
+6.40000E+03,-94.06860E+00
+6.42000E+03,-96.60889E+00
+6.44000E+03,-98.73291E+00
+6.46000E+03,-97.39380E+00
+6.48000E+03,-93.75244E+00
+6.50000E+03,-89.79614E+00
+6.52000E+03,-88.00171E+00
+6.54000E+03,-86.64307E+00
+6.56000E+03,-83.89526E+00
+6.58000E+03,-84.84375E+00
+6.60000E+03,-85.42603E+00
+6.62000E+03,-88.13110E+00
+6.64000E+03,-91.19507E+00
+6.66000E+03,-85.97290E+00
+6.68000E+03,-82.65747E+00
+6.70000E+03,-87.83936E+00
+6.72000E+03,-90.86914E+00
+6.74000E+03,-89.60327E+00
+6.76000E+03,-86.78955E+00
+6.78000E+03,-76.89575E+00
+6.80000E+03,-69.63989E+00
+6.82000E+03,-66.19751E+00
+6.84000E+03,-65.71777E+00
+6.86000E+03,-68.22510E+00
+6.88000E+03,-73.24951E+00
+6.90000E+03,-80.35034E+00
+6.92000E+03,-85.26855E+00
+6.94000E+03,-87.04590E+00
+6.96000E+03,-87.80884E+00
+6.98000E+03,-86.26221E+00
+7.00000E+03,-84.99634E+00
+7.02000E+03,-88.63647E+00
+7.04000E+03,-92.02026E+00
+7.06000E+03,-92.53906E+00
+7.08000E+03,-89.42627E+00
+7.10000E+03,-84.03076E+00
+7.12000E+03,-83.98315E+00
+7.14000E+03,-90.22827E+00
+7.16000E+03,-94.26392E+00
+7.18000E+03,-96.59302E+00
+7.20000E+03,-99.17725E+00
+7.22000E+03,-94.59961E+00
+7.24000E+03,-86.47339E+00
+7.26000E+03,-82.03247E+00
+7.28000E+03,-83.69385E+00
+7.30000E+03,-84.84131E+00
+7.32000E+03,-83.51807E+00
+7.34000E+03,-84.20898E+00
+7.36000E+03,-85.62500E+00
+7.38000E+03,-85.99609E+00
+7.40000E+03,-85.60913E+00
+7.42000E+03,-83.67920E+00
+7.44000E+03,-83.30200E+00
+7.46000E+03,-85.96924E+00
