x-axis,MATH
Hertz,dBV
+3.0000E+03,-83.05542E+00
+3.2000E+03,-80.50171E+00
+3.4000E+03,-81.04614E+00
+3.6000E+03,-80.37140E+00
+3.8000E+03,-80.36041E+00
+4.0000E+03,-80.79132E+00
+4.2000E+03,-80.07965E+00
+4.4000E+03,-79.93042E+00
+4.6000E+03,-76.11328E+00
+4.8000E+03,-75.09644E+00
+5.0000E+03,-74.89258E+00
+5.2000E+03,-73.05145E+00
+5.4000E+03,-73.26172E+00
+5.6000E+03,-71.40717E+00
+5.8000E+03,-70.70190E+00
+6.0000E+03,-68.91815E+00
+6.2000E+03,-66.31531E+00
+6.4000E+03,-65.68085E+00
+6.6000E+03,-64.99451E+00
+6.8000E+03,-63.56689E+00
+7.0000E+03,-61.13220E+00
+7.2000E+03,-58.54370E+00
+7.4000E+03,-56.93817E+00
+7.6000E+03,-55.37628E+00
+7.8000E+03,-52.65259E+00
+8.0000E+03,-50.14404E+00
+8.2000E+03,-46.90582E+00
+8.4000E+03,-43.45917E+00
+8.6000E+03,-39.68933E+00
+8.8000E+03,-33.95172E+00
+9.0000E+03,-27.86133E+00
+9.2000E+03,-18.41095E+00
+9.4000E+03,-9.49524E+00
+9.6000E+03,-4.93713E+00
+9.8000E+03,-2.94434E+00
+10.0000E+03,-2.93732E+00
+10.2000E+03,-4.78424E+00
+10.4000E+03,-8.88214E+00
+10.6000E+03,-16.02081E+00
+10.8000E+03,-26.56616E+00
+11.0000E+03,-35.43549E+00
+11.2000E+03,-38.95386E+00
+11.4000E+03,-44.45007E+00
+11.6000E+03,-47.60742E+00
+11.8000E+03,-50.24384E+00
+12.0000E+03,-55.47546E+00
+12.2000E+03,-55.60944E+00
+12.4000E+03,-60.66254E+00
+12.6000E+03,-61.47217E+00
+12.8000E+03,-62.77954E+00
+13.0000E+03,-66.23383E+00
+13.2000E+03,-65.82581E+00
+13.4000E+03,-72.73529E+00
+13.6000E+03,-71.15112E+00
+13.8000E+03,-71.64642E+00
+14.0000E+03,-73.51807E+00
+14.2000E+03,-72.12555E+00
+14.4000E+03,-78.33008E+00
+14.6000E+03,-77.39532E+00
+14.8000E+03,-83.32855E+00
+15.0000E+03,-84.22211E+00
+15.2000E+03,-79.91211E+00
+15.4000E+03,-85.49103E+00
+15.6000E+03,-81.93146E+00
+15.8000E+03,-88.17444E+00
+16.0000E+03,-85.95673E+00
+16.2000E+03,-79.79797E+00
+16.4000E+03,-83.30444E+00
+16.6000E+03,-81.11450E+00
+16.8000E+03,-82.92633E+00
+17.0000E+03,-81.28632E+00
+17.2000E+03,-81.14868E+00
+17.4000E+03,-82.67944E+00
+17.6000E+03,-80.02258E+00
+17.8000E+03,-80.82214E+00
+18.0000E+03,-79.86481E+00
+18.2000E+03,-79.83856E+00
+18.4000E+03,-75.73639E+00
+18.6000E+03,-68.12317E+00
+18.8000E+03,-65.53741E+00
+19.0000E+03,-55.33447E+00
+19.2000E+03,-45.53680E+00
+19.4000E+03,-39.06372E+00
+19.6000E+03,-35.68268E+00
+19.8000E+03,-34.56085E+00
+20.0000E+03,-35.41534E+00
+20.2000E+03,-38.26843E+00
+20.4000E+03,-43.80127E+00
+20.6000E+03,-53.44025E+00
+20.8000E+03,-63.17963E+00
+21.0000E+03,-68.29132E+00
+21.2000E+03,-74.21509E+00
+21.4000E+03,-76.18469E+00
+21.6000E+03,-78.06885E+00
+21.8000E+03,-81.73309E+00
+22.0000E+03,-83.39935E+00
+22.2000E+03,-85.02869E+00
+22.4000E+03,-90.84686E+00
+22.6000E+03,-94.83124E+00
+22.8000E+03,-93.73322E+00
+23.0000E+03,-90.39459E+00
+23.2000E+03,-89.77417E+00
+23.4000E+03,-88.55377E+00
+23.6000E+03,-84.46503E+00
+23.8000E+03,-82.97455E+00
+24.0000E+03,-86.09467E+00
+24.2000E+03,-88.94745E+00
+24.4000E+03,-87.70508E+00
+24.6000E+03,-85.23224E+00
+24.8000E+03,-86.24115E+00
+25.0000E+03,-88.62671E+00
+25.2000E+03,-91.09375E+00
+25.4000E+03,-92.96265E+00
+25.6000E+03,-90.97900E+00
+25.8000E+03,-92.89856E+00
+26.0000E+03,-94.28192E+00
+26.2000E+03,-93.13202E+00
+26.4000E+03,-96.51031E+00
+26.6000E+03,-102.42676E+00
+26.8000E+03,-94.79645E+00
+27.0000E+03,-89.23370E+00
+27.2000E+03,-93.47351E+00
+27.4000E+03,-94.10522E+00
+27.6000E+03,-87.07825E+00
+27.8000E+03,-92.14447E+00
+28.0000E+03,-83.54767E+00
+28.2000E+03,-78.28552E+00
+28.4000E+03,-73.69965E+00
+28.6000E+03,-67.30927E+00
+28.8000E+03,-66.10626E+00
+29.0000E+03,-51.39404E+00
+29.2000E+03,-41.02600E+00
+29.4000E+03,-36.14166E+00
+29.6000E+03,-33.76984E+00
+29.8000E+03,-33.45673E+00
+30.0000E+03,-35.19806E+00
+30.2000E+03,-39.12598E+00
+30.4000E+03,-47.22290E+00
+30.6000E+03,-63.66943E+00
+30.8000E+03,-74.60999E+00
+31.0000E+03,-71.09741E+00
+31.2000E+03,-79.51355E+00
+31.4000E+03,-80.43823E+00
+31.6000E+03,-83.69476E+00
+31.8000E+03,-84.93835E+00
+32.0000E+03,-80.93658E+00
+32.2000E+03,-91.80664E+00
+32.4000E+03,-99.41742E+00
+32.6000E+03,-96.92383E+00
+32.8000E+03,-88.16010E+00
+33.0000E+03,-83.60077E+00
+33.2000E+03,-88.27118E+00
+33.4000E+03,-92.98035E+00
+33.6000E+03,-91.83105E+00
+33.8000E+03,-89.25537E+00
+34.0000E+03,-87.87140E+00
+34.2000E+03,-89.87915E+00
+34.4000E+03,-94.59656E+00
+34.6000E+03,-93.86597E+00
+34.8000E+03,-94.03229E+00
+35.0000E+03,-96.17981E+00
+35.2000E+03,-95.91522E+00
+35.4000E+03,-92.30255E+00
+35.6000E+03,-92.10297E+00
+35.8000E+03,-92.69897E+00
+36.0000E+03,-95.26245E+00
+36.2000E+03,-95.27863E+00
+36.4000E+03,-91.96381E+00
+36.6000E+03,-92.60468E+00
+36.8000E+03,-95.47546E+00
+37.0000E+03,-101.13251E+00
+37.2000E+03,-100.73212E+00
+37.4000E+03,-94.83582E+00
+37.6000E+03,-94.12537E+00
+37.8000E+03,-95.36285E+00
+38.0000E+03,-93.68835E+00
+38.2000E+03,-92.06482E+00
+38.4000E+03,-90.74707E+00
+38.6000E+03,-90.60242E+00
+38.8000E+03,-87.48322E+00
+39.0000E+03,-74.37805E+00
+39.2000E+03,-65.82245E+00
+39.4000E+03,-61.83228E+00
+39.6000E+03,-60.24384E+00
+39.8000E+03,-60.84503E+00
+40.0000E+03,-63.60199E+00
+40.2000E+03,-68.79272E+00
