x-axis,MATH
Hertz,dBV
+38.2000E+03,-91.96442E+00
+38.4000E+03,-93.21625E+00
+38.6000E+03,-90.84534E+00
+38.8000E+03,-86.44958E+00
+39.0000E+03,-76.84875E+00
+39.2000E+03,-68.52692E+00
+39.4000E+03,-63.03345E+00
+39.6000E+03,-60.20874E+00
+39.8000E+03,-59.66766E+00
+40.0000E+03,-61.27167E+00
+40.2000E+03,-64.82269E+00
+40.4000E+03,-71.40076E+00
+40.6000E+03,-81.38763E+00
+40.8000E+03,-89.15863E+00
+41.0000E+03,-89.76166E+00
+41.2000E+03,-93.27972E+00
+41.4000E+03,-98.95203E+00
+41.6000E+03,-97.30194E+00
+41.8000E+03,-92.21924E+00
+42.0000E+03,-91.99615E+00
+42.2000E+03,-92.03491E+00
+42.4000E+03,-93.82935E+00
+42.6000E+03,-94.25354E+00
+42.8000E+03,-94.45862E+00
+43.0000E+03,-93.93616E+00
+43.2000E+03,-92.22473E+00
+43.4000E+03,-91.47919E+00
+43.6000E+03,-87.80151E+00
+43.8000E+03,-87.74780E+00
+44.0000E+03,-90.79224E+00
+44.2000E+03,-95.24048E+00
+44.4000E+03,-101.60614E+00
+44.6000E+03,-103.54675E+00
+44.8000E+03,-104.00482E+00
+45.0000E+03,-97.44873E+00
+45.2000E+03,-89.09943E+00
+45.4000E+03,-88.78998E+00
+45.6000E+03,-89.81506E+00
+45.8000E+03,-93.61237E+00
+46.0000E+03,-96.59790E+00
+46.2000E+03,-100.95703E+00
+46.4000E+03,-101.00006E+00
+46.6000E+03,-92.59003E+00
+46.8000E+03,-96.20941E+00
+47.0000E+03,-101.66199E+00
+47.2000E+03,-98.76892E+00
+47.4000E+03,-90.14984E+00
+47.6000E+03,-89.97559E+00
+47.8000E+03,-94.92859E+00
+48.0000E+03,-90.61310E+00
+48.2000E+03,-85.09735E+00
+48.4000E+03,-82.08588E+00
+48.6000E+03,-80.30243E+00
+48.8000E+03,-74.09149E+00
+49.0000E+03,-62.78320E+00
+49.2000E+03,-55.44769E+00
+49.4000E+03,-51.51764E+00
+49.6000E+03,-49.72961E+00
+49.8000E+03,-49.97925E+00
+50.0000E+03,-52.53571E+00
+50.2000E+03,-57.72217E+00
+50.4000E+03,-66.35162E+00
+50.6000E+03,-78.46466E+00
+50.8000E+03,-87.62054E+00
+51.0000E+03,-87.65381E+00
+51.2000E+03,-86.69556E+00
+51.4000E+03,-88.07404E+00
+51.6000E+03,-91.63818E+00
+51.8000E+03,-91.98578E+00
+52.0000E+03,-90.72662E+00
+52.2000E+03,-95.68359E+00
+52.4000E+03,-96.24725E+00
+52.6000E+03,-92.53906E+00
+52.8000E+03,-88.91235E+00
+53.0000E+03,-91.45782E+00
+53.2000E+03,-96.43097E+00
+53.4000E+03,-93.19916E+00
+53.6000E+03,-90.56366E+00
+53.8000E+03,-90.87982E+00
+54.0000E+03,-91.76819E+00
+54.2000E+03,-90.19470E+00
+54.4000E+03,-89.40521E+00
+54.6000E+03,-93.68591E+00
+54.8000E+03,-98.20648E+00
+55.0000E+03,-96.56433E+00
+55.2000E+03,-94.53461E+00
+55.4000E+03,-97.71393E+00
+55.6000E+03,-95.98785E+00
+55.8000E+03,-94.50562E+00
+56.0000E+03,-93.14056E+00
+56.2000E+03,-92.16736E+00
+56.4000E+03,-93.38348E+00
+56.6000E+03,-94.39087E+00
+56.8000E+03,-91.04401E+00
+57.0000E+03,-91.17218E+00
+57.2000E+03,-92.24670E+00
+57.4000E+03,-92.56866E+00
+57.6000E+03,-93.65662E+00
+57.8000E+03,-95.08636E+00
+58.0000E+03,-93.05237E+00
+58.2000E+03,-89.31519E+00
+58.4000E+03,-87.44843E+00
+58.6000E+03,-87.62756E+00
+58.8000E+03,-84.00787E+00
+59.0000E+03,-76.01105E+00
+59.2000E+03,-70.32013E+00
+59.4000E+03,-67.23572E+00
+59.6000E+03,-66.24054E+00
+59.8000E+03,-67.43835E+00
+60.0000E+03,-71.04828E+00
