x-axis,MATH
Hertz,dBV
+4.200E+03,-80.12451E+00
+4.300E+03,-81.06964E+00
+4.400E+03,-82.99286E+00
+4.500E+03,-86.11298E+00
+4.600E+03,-93.44971E+00
+4.700E+03,-85.07813E+00
+4.800E+03,-85.06500E+00
+4.900E+03,-83.39172E+00
+5.000E+03,-82.53571E+00
+5.100E+03,-82.10938E+00
+5.200E+03,-82.14172E+00
+5.300E+03,-86.23993E+00
+5.400E+03,-84.92249E+00
+5.500E+03,-80.03906E+00
+5.600E+03,-80.04059E+00
+5.700E+03,-80.20386E+00
+5.800E+03,-76.32813E+00
+5.900E+03,-76.36902E+00
+6.000E+03,-81.57898E+00
+6.100E+03,-83.67188E+00
+6.200E+03,-83.67462E+00
+6.300E+03,-84.01306E+00
+6.400E+03,-82.66663E+00
+6.500E+03,-78.97858E+00
+6.600E+03,-73.28125E+00
+6.700E+03,-73.28491E+00
+6.800E+03,-73.77594E+00
+6.900E+03,-77.03705E+00
+7.000E+03,-72.81250E+00
+7.100E+03,-72.81799E+00
+7.200E+03,-73.56201E+00
+7.300E+03,-79.39484E+00
+7.400E+03,-71.99219E+00
+7.500E+03,-72.00500E+00
+7.600E+03,-73.68561E+00
+7.700E+03,-80.36621E+00
+7.800E+03,-77.26563E+00
+7.900E+03,-77.20764E+00
+8.000E+03,-69.83093E+00
+8.100E+03,-68.20313E+00
+8.200E+03,-68.23883E+00
+8.300E+03,-72.69531E+00
+8.400E+03,-62.77344E+00
+8.500E+03,-62.77344E+00
+8.600E+03,-62.75513E+00
+8.700E+03,-60.39825E+00
+8.800E+03,-56.40625E+00
+8.900E+03,-56.36322E+00
+9.000E+03,-50.89844E+00
+9.100E+03,-50.85114E+00
+9.200E+03,-44.83490E+00
+9.300E+03,-43.63464E+00
+9.400E+03,-33.92792E+00
+9.500E+03,-31.58264E+00
+9.600E+03,-14.23828E+00
+9.700E+03,-6.76910E+00
+9.800E+03,-3.23700E+00
+9.900E+03,-2.57813E+00
+10.000E+03,-2.59491E+00
+10.100E+03,-4.76898E+00
+10.200E+03,-10.24200E+00
+10.300E+03,-21.25183E+00
+10.400E+03,-36.36719E+00
+10.500E+03,-36.43280E+00
+10.600E+03,-44.76563E+00
+10.700E+03,-44.81812E+00
+10.800E+03,-51.48438E+00
+10.900E+03,-51.52161E+00
+11.000E+03,-56.25000E+00
+11.100E+03,-56.26984E+00
+11.200E+03,-58.78906E+00
+11.300E+03,-58.86597E+00
+11.400E+03,-68.63281E+00
+11.500E+03,-68.60352E+00
+11.600E+03,-64.88281E+00
+11.700E+03,-64.96338E+00
+11.800E+03,-75.21301E+00
+11.900E+03,-77.40906E+00
+12.000E+03,-70.82031E+00
+12.100E+03,-70.86395E+00
+12.200E+03,-76.41022E+00
+12.300E+03,-76.95068E+00
+12.400E+03,-81.56982E+00
+12.500E+03,-77.48810E+00
+12.600E+03,-71.05743E+00
+12.700E+03,-76.45447E+00
+12.800E+03,-87.46948E+00
+12.900E+03,-78.63281E+00
+13.000E+03,-78.65723E+00
+13.100E+03,-81.77429E+00
+13.200E+03,-83.84674E+00
+13.300E+03,-81.25000E+00
+13.400E+03,-81.31592E+00
+13.500E+03,-89.74091E+00
+13.600E+03,-96.39038E+00
+13.700E+03,-79.49219E+00
+13.800E+03,-79.51263E+00
+13.900E+03,-82.12555E+00
+14.000E+03,-84.17023E+00
+14.100E+03,-82.96875E+00
+14.200E+03,-82.97180E+00
+14.300E+03,-83.34259E+00
+14.400E+03,-81.21094E+00
+14.500E+03,-81.23047E+00
+14.600E+03,-83.71094E+00
+14.700E+03,-83.72162E+00
+14.800E+03,-85.03876E+00
+14.900E+03,-80.03906E+00
+15.000E+03,-80.06165E+00
+15.100E+03,-82.95074E+00
+15.200E+03,-85.62500E+00
+15.300E+03,-85.64850E+00
+15.400E+03,-88.63068E+00
+15.500E+03,-88.31116E+00
+15.600E+03,-82.15790E+00
+15.700E+03,-78.39844E+00
+15.800E+03,-78.42316E+00
+15.900E+03,-81.58508E+00
+16.000E+03,-84.43665E+00
+16.100E+03,-82.34283E+00
+16.200E+03,-82.22656E+00
+16.300E+03,-82.28729E+00
+16.400E+03,-89.98993E+00
+16.500E+03,-88.69507E+00
+16.600E+03,-86.64337E+00
+16.700E+03,-82.03125E+00
+16.800E+03,-82.05994E+00
+16.900E+03,-85.68573E+00
+17.000E+03,-83.47656E+00
+17.100E+03,-83.48358E+00
+17.200E+03,-84.37073E+00
+17.300E+03,-83.82813E+00
+17.400E+03,-83.83240E+00
+17.500E+03,-84.37500E+00
+17.600E+03,-84.38538E+00
+17.700E+03,-85.70313E+00
+17.800E+03,-85.76904E+00
+17.900E+03,-94.09821E+00
+18.000E+03,-88.65051E+00
+18.100E+03,-80.97656E+00
+18.200E+03,-81.00586E+00
+18.300E+03,-84.72656E+00
+18.400E+03,-84.81873E+00
+18.500E+03,-96.45813E+00
+18.600E+03,-88.14758E+00
+18.700E+03,-86.03729E+00
+18.800E+03,-83.79822E+00
+18.900E+03,-80.00000E+00
+19.000E+03,-80.06042E+00
+19.100E+03,-87.69562E+00
+19.200E+03,-82.74811E+00
+19.300E+03,-79.48944E+00
+19.400E+03,-74.15588E+00
+19.500E+03,-71.04126E+00
+19.600E+03,-59.31396E+00
+19.700E+03,-46.55304E+00
+19.800E+03,-40.36957E+00
+19.900E+03,-37.69531E+00
+20.000E+03,-37.69623E+00
+20.100E+03,-37.83630E+00
+20.200E+03,-40.90973E+00
+20.300E+03,-47.41608E+00
+20.400E+03,-61.62750E+00
+20.500E+03,-69.90967E+00
+20.600E+03,-73.35327E+00
+20.700E+03,-77.53906E+00
+20.800E+03,-77.56897E+00
+20.900E+03,-81.35345E+00
+21.000E+03,-79.60938E+00
+21.100E+03,-79.67133E+00
+21.200E+03,-87.56195E+00
+21.300E+03,-90.50385E+00
+21.400E+03,-94.92218E+00
+21.500E+03,-89.95911E+00
+21.600E+03,-84.76563E+00
+21.700E+03,-84.77905E+00
+21.800E+03,-86.45172E+00
+21.900E+03,-82.30469E+00
+22.000E+03,-82.31232E+00
+22.100E+03,-83.31543E+00
+22.200E+03,-87.68524E+00
+22.300E+03,-91.31256E+00
+22.400E+03,-84.37195E+00
+22.500E+03,-83.98438E+00
+22.600E+03,-84.00330E+00
+22.700E+03,-86.43921E+00
+22.800E+03,-90.62500E+00
+22.900E+03,-90.58533E+00
+23.000E+03,-85.51331E+00
+23.100E+03,-81.25000E+00
+23.200E+03,-81.27014E+00
+23.300E+03,-83.81927E+00
+23.400E+03,-82.69531E+00
+23.500E+03,-82.72034E+00
+23.600E+03,-85.94116E+00
+23.700E+03,-91.30096E+00
+23.800E+03,-82.89063E+00
+23.900E+03,-82.89093E+00
+24.000E+03,-82.92969E+00
+24.100E+03,-82.95807E+00
+24.200E+03,-86.54846E+00
+24.300E+03,-84.76563E+00
+24.400E+03,-84.77478E+00
+24.500E+03,-85.91461E+00
+24.600E+03,-82.98706E+00
+24.700E+03,-80.35156E+00
+24.800E+03,-80.36865E+00
+24.900E+03,-82.56653E+00
+25.000E+03,-86.06201E+00
+25.100E+03,-86.99219E+00
+25.200E+03,-86.99310E+00
+25.300E+03,-87.12250E+00
+25.400E+03,-88.72009E+00
+25.500E+03,-79.96094E+00
+25.600E+03,-80.00458E+00
+25.700E+03,-85.53711E+00
+25.800E+03,-84.27795E+00
+25.900E+03,-81.87500E+00
+26.000E+03,-81.96198E+00
+26.100E+03,-92.99042E+00
+26.200E+03,-90.78125E+00
+26.300E+03,-90.73822E+00
+26.400E+03,-85.26581E+00
+26.500E+03,-84.29688E+00
+26.600E+03,-84.31549E+00
+26.700E+03,-86.67969E+00
+26.800E+03,-86.65741E+00
+26.900E+03,-83.82813E+00
+27.000E+03,-83.86871E+00
+27.100E+03,-89.00635E+00
+27.200E+03,-86.78955E+00
+27.300E+03,-80.89844E+00
+27.400E+03,-80.97565E+00
+27.500E+03,-90.77606E+00
+27.600E+03,-90.11719E+00
+27.700E+03,-90.06134E+00
+27.800E+03,-82.96875E+00
+27.900E+03,-82.96753E+00
+28.000E+03,-82.81250E+00
+28.100E+03,-82.82990E+00
+28.200E+03,-85.04150E+00
+28.300E+03,-85.35156E+00
+28.400E+03,-85.35309E+00
+28.500E+03,-85.57404E+00
+28.600E+03,-88.97034E+00
+28.700E+03,-82.22656E+00
+28.800E+03,-82.20337E+00
+28.900E+03,-79.25476E+00
+29.000E+03,-78.85895E+00
+29.100E+03,-77.81250E+00
+29.200E+03,-77.81281E+00
+29.300E+03,-77.85156E+00
+29.400E+03,-77.74933E+00
+29.500E+03,-64.76563E+00
+29.600E+03,-64.57764E+00
+29.700E+03,-40.66376E+00
+29.800E+03,-35.64880E+00
+29.900E+03,-33.71094E+00
+30.000E+03,-33.71735E+00
+30.100E+03,-34.56024E+00
+30.200E+03,-38.30414E+00
+30.300E+03,-46.31287E+00
+30.400E+03,-64.22607E+00
+30.500E+03,-65.20325E+00
+30.600E+03,-71.17188E+00
+30.700E+03,-71.20667E+00
+30.800E+03,-75.62500E+00
+30.900E+03,-75.65796E+00
+31.000E+03,-79.84802E+00
+31.100E+03,-80.42603E+00
+31.200E+03,-84.92188E+00
+31.300E+03,-84.92584E+00
+31.400E+03,-85.42969E+00
+31.500E+03,-85.45105E+00
+31.600E+03,-88.16406E+00
+31.700E+03,-88.16345E+00
+31.800E+03,-88.07739E+00
+31.900E+03,-86.99219E+00
+32.000E+03,-87.01019E+00
+32.100E+03,-89.28741E+00
+32.200E+03,-88.08594E+00
+32.300E+03,-88.08807E+00
+32.400E+03,-88.31696E+00
+32.500E+03,-82.92847E+00
+32.600E+03,-82.77344E+00
