x-axis,MATH
Hertz,dBV
+4.200E+03,-88.99841E+00
+4.300E+03,-85.82031E+00
+4.400E+03,-85.87280E+00
+4.500E+03,-92.57904E+00
+4.600E+03,-97.57843E+00
+4.700E+03,-87.69531E+00
+4.800E+03,-87.72186E+00
+4.900E+03,-91.07971E+00
+5.000E+03,-89.29688E+00
+5.100E+03,-89.30206E+00
+5.200E+03,-89.96094E+00
+5.300E+03,-89.93774E+00
+5.400E+03,-86.99219E+00
+5.500E+03,-86.98425E+00
+5.600E+03,-85.95978E+00
+5.700E+03,-83.77441E+00
+5.800E+03,-76.95313E+00
+5.900E+03,-76.98456E+00
+6.000E+03,-80.98297E+00
+6.100E+03,-81.76147E+00
+6.200E+03,-77.25342E+00
+6.300E+03,-75.70313E+00
+6.400E+03,-75.75653E+00
+6.500E+03,-82.55341E+00
+6.600E+03,-84.36707E+00
+6.700E+03,-83.30109E+00
+6.800E+03,-75.88501E+00
+6.900E+03,-74.17969E+00
+7.000E+03,-74.20258E+00
+7.100E+03,-77.11761E+00
+7.200E+03,-78.21075E+00
+7.300E+03,-84.05853E+00
+7.400E+03,-73.62671E+00
+7.500E+03,-72.85156E+00
+7.600E+03,-72.87262E+00
+7.700E+03,-75.54688E+00
+7.800E+03,-75.56763E+00
+7.900E+03,-78.16040E+00
+8.000E+03,-72.70294E+00
+8.100E+03,-68.71094E+00
+8.200E+03,-68.71582E+00
+8.300E+03,-69.29565E+00
+8.400E+03,-64.17969E+00
+8.500E+03,-64.15863E+00
+8.600E+03,-61.48438E+00
+8.700E+03,-61.44012E+00
+8.800E+03,-55.82031E+00
+8.900E+03,-55.77972E+00
+9.000E+03,-50.62500E+00
+9.100E+03,-50.57190E+00
+9.200E+03,-43.82813E+00
+9.300E+03,-43.75000E+00
+9.400E+03,-33.82813E+00
+9.500E+03,-33.69415E+00
+9.600E+03,-16.61194E+00
+9.700E+03,-7.97424E+00
+9.800E+03,-3.70148E+00
+9.900E+03,-2.50000E+00
+10.000E+03,-2.51190E+00
+10.100E+03,-4.05975E+00
+10.200E+03,-8.74451E+00
+10.300E+03,-18.10120E+00
+10.400E+03,-34.92188E+00
+10.500E+03,-34.99542E+00
+10.600E+03,-44.33594E+00
+10.700E+03,-44.38782E+00
+10.800E+03,-50.97656E+00
+10.900E+03,-51.02173E+00
+11.000E+03,-56.75781E+00
+11.100E+03,-56.78162E+00
+11.200E+03,-59.80469E+00
+11.300E+03,-59.84863E+00
+11.400E+03,-65.42969E+00
+11.500E+03,-65.44159E+00
+11.600E+03,-66.95313E+00
+11.700E+03,-67.00867E+00
+11.800E+03,-74.06616E+00
+11.900E+03,-74.50531E+00
+12.000E+03,-71.21094E+00
+12.100E+03,-71.24146E+00
+12.200E+03,-75.13306E+00
+12.300E+03,-77.14844E+00
+12.400E+03,-77.19391E+00
+12.500E+03,-82.90497E+00
+12.600E+03,-74.81232E+00
+12.700E+03,-75.76721E+00
+12.800E+03,-73.98438E+00
+12.900E+03,-74.01398E+00
+13.000E+03,-77.75665E+00
+13.100E+03,-75.62500E+00
+13.200E+03,-75.63690E+00
+13.300E+03,-77.21771E+00
+13.400E+03,-86.01807E+00
+13.500E+03,-86.26678E+00
+13.600E+03,-78.47626E+00
+13.700E+03,-78.43750E+00
+13.800E+03,-78.44666E+00
+13.900E+03,-79.64417E+00
+14.000E+03,-84.05090E+00
+14.100E+03,-82.57813E+00
+14.200E+03,-82.57660E+00
+14.300E+03,-82.38281E+00
+14.400E+03,-82.42371E+00
+14.500E+03,-87.63031E+00
+14.600E+03,-89.29688E+00
+14.700E+03,-89.28314E+00
+14.800E+03,-87.53906E+00
+14.900E+03,-87.53021E+00
+15.000E+03,-86.40625E+00
+15.100E+03,-86.38489E+00
+15.200E+03,-83.67188E+00
+15.300E+03,-83.67584E+00
+15.400E+03,-84.17969E+00
+15.500E+03,-84.21448E+00
+15.600E+03,-88.62915E+00
+15.700E+03,-88.13446E+00
+15.800E+03,-84.37500E+00
+15.900E+03,-84.40887E+00
+16.000E+03,-88.71094E+00
+16.100E+03,-88.70331E+00
+16.200E+03,-87.70874E+00
+16.300E+03,-84.41864E+00
+16.400E+03,-80.03906E+00
+16.500E+03,-80.07599E+00
+16.600E+03,-84.77020E+00
+16.700E+03,-85.32043E+00
+16.800E+03,-81.40350E+00
+16.900E+03,-86.02203E+00
