time	V(n002)
4.048219769973193e-003	-4.827940e-004
4.048829722537924e-003	-5.495443e-004
4.049464158790381e-003	-5.723822e-004
4.050117634214876e-003	-5.449211e-004
4.050730927758579e-003	-4.685652e-004
4.051566941808235e-003	-3.014497e-004
4.052340658958990e-003	-1.036822e-004
4.052961693982666e-003	7.458284e-005
4.053606881069029e-003	2.597532e-004
4.054307554477659e-003	4.406653e-004
4.054959946906600e-003	5.743536e-004
4.055569180170365e-003	6.542598e-004
4.056201567765252e-003	6.820326e-004
4.056853040087176e-003	6.502852e-004
4.057463298826010e-003	5.606842e-004
4.058297855795845e-003	3.618163e-004
4.059159447820417e-003	9.853303e-005
4.059794323485580e-003	-1.184511e-004
4.060447523333587e-003	-3.406785e-004
4.061089599101070e-003	-5.354644e-004
4.061740727396005e-003	-6.910761e-004
4.062345841886697e-003	-7.828560e-004
4.062970844646225e-003	-8.127819e-004
4.063617166204745e-003	-7.725249e-004
4.064235524251735e-003	-6.620496e-004
4.065070353383794e-003	-4.241683e-004
4.065834841976143e-003	-1.462399e-004
4.066453017304609e-003	1.057937e-004
4.067095440193425e-003	3.675415e-004
4.067796680086512e-003	6.246865e-004
4.068448050967360e-003	8.144149e-004
4.069057116439036e-003	9.282603e-004
4.069686006920181e-003	9.682490e-004
4.070334136455420e-003	9.245756e-004
4.070941498290044e-003	7.993281e-004
4.071774175783375e-003	5.194516e-004
4.072633677071143e-003	1.479549e-004
4.073268179744924e-003	-1.595593e-004
4.073922023306606e-003	-4.757498e-004
4.074565917141734e-003	-7.541031e-004
4.075218097428968e-003	-9.771603e-004
4.075817624907819e-003	-1.108537e-003
4.076440138447251e-003	-1.153904e-003
4.077083839925979e-003	-1.100966e-003
4.077693998295999e-003	-9.502563e-004
4.078525764227270e-003	-6.163731e-004
4.079387858046635e-003	-1.718114e-004
4.080022247451635e-003	1.945893e-004
4.080675498061018e-003	5.707053e-004
4.081318120096399e-003	9.011392e-004
4.081969411437550e-003	1.165681e-003
4.082571089630943e-003	1.321845e-003
4.083192104633969e-003	1.374768e-003
4.083834526113613e-003	1.310712e-003
4.084446626854210e-003	1.129644e-003
4.085278467111889e-003	7.307482e-004
4.086142294902540e-003	1.992429e-004
4.086776396647635e-003	-2.372234e-004
4.087428909805186e-003	-6.845206e-004
4.088070269713609e-003	-1.076784e-003
4.088720685378916e-003	-1.390538e-003
4.089324485793864e-003	-1.576149e-003
