x-axis,1
second,Volt
+49.07280000E-03,-3.87500000000E+00
+49.07285000E-03,-3.87500000001E+00
+49.07290000E-03,-3.93750000001E+00
+49.07295000E-03,-4.06250000000E+00
+49.07300000E-03,-4.06250000000E+00
+49.07305000E-03,-4.06250000001E+00
+49.07310000E-03,-4.12500000001E+00
+49.07315000E-03,-4.18750000002E+00
+49.07320000E-03,-4.25000000002E+00
+49.07325000E-03,-4.31249999998E+00
+49.07330000E-03,-4.25000000002E+00
+49.07335000E-03,-4.31250000007E+00
+49.07340000E-03,-4.49999999995E+00
+49.07345000E-03,-4.37500000000E+00
+49.07350000E-03,-4.37500000003E+00
+49.07355000E-03,-4.43750000003E+00
+49.07360000E-03,-4.49999999997E+00
+49.07365000E-03,-4.43750000000E+00
+49.07370000E-03,-4.43750000004E+00
+49.07375000E-03,-4.50000000004E+00
+49.07380000E-03,-4.56249999992E+00
+49.07385000E-03,-4.43749999996E+00
+49.07390000E-03,-4.37500000004E+00
+49.07395000E-03,-4.43750000004E+00
+49.07400000E-03,-4.49999999995E+00
+49.07405000E-03,-4.43750000000E+00
+49.07410000E-03,-4.43749999990E+00
+49.07415000E-03,-4.31250000010E+00
+49.07420000E-03,-4.43749999995E+00
+49.07425000E-03,-4.37499999994E+00
+49.07430000E-03,-4.31250000000E+00
+49.07435000E-03,-4.31250000012E+00
+49.07440000E-03,-4.43749999988E+00
+49.07445000E-03,-4.31249999994E+00
+49.07450000E-03,-4.25000000000E+00
+49.07455000E-03,-4.25000000007E+00
+49.07460000E-03,-4.31249999986E+00
+49.07465000E-03,-4.18749999993E+00
+49.07470000E-03,-4.12500000000E+00
+49.07475000E-03,-4.12500000000E+00
+49.07480000E-03,-4.12499999992E+00
+49.07485000E-03,-4.06249999985E+00
+49.07490000E-03,-3.93750000008E+00
+49.07495000E-03,-4.00000000000E+00
+49.07500000E-03,-3.99999999983E+00
+49.07505000E-03,-3.87499999992E+00
+49.07510000E-03,-3.81249999991E+00
+49.07515000E-03,-3.75000000000E+00
+49.07520000E-03,-3.75000000000E+00
+49.07525000E-03,-3.74999999973E+00
+49.07530000E-03,-3.56249999991E+00
+49.07535000E-03,-3.50000000010E+00
+49.07540000E-03,-3.56249999981E+00
+49.07545000E-03,-3.43749999980E+00
+49.07550000E-03,-3.31249999990E+00
+49.07555000E-03,-3.25000000000E+00
+49.07560000E-03,-3.24999999979E+00
+49.07565000E-03,-3.12499999989E+00
+49.07570000E-03,-3.06249999978E+00
+49.07575000E-03,-2.93750000011E+00
+49.07580000E-03,-2.99999999967E+00
+49.07585000E-03,-2.81249999977E+00
+49.07590000E-03,-2.68750000000E+00
+49.07595000E-03,-2.68749999988E+00
+49.07600000E-03,-2.62499999964E+00
+49.07605000E-03,-2.43749999988E+00
+49.07610000E-03,-2.37499999976E+00
+49.07615000E-03,-2.25000000000E+00
+49.07620000E-03,-2.24999999975E+00
+49.07625000E-03,-2.12499999962E+00
+49.07630000E-03,-1.93750000000E+00
+49.07635000E-03,-1.93749999987E+00
+49.07640000E-03,-1.87499999973E+00
+49.07645000E-03,-1.74999999973E+00
+49.07650000E-03,-1.62499999986E+00
+49.07655000E-03,-1.56249999986E+00
+49.07660000E-03,-1.49999999944E+00
+49.07665000E-03,-1.24999999986E+00
+49.07670000E-03,-1.18749999971E+00
+49.07675000E-03,-1.06250000000E+00
+49.07680000E-03,-1.06249999956E+00
+49.07685000E-03,-874.99999970E-03
+49.07690000E-03,-749.99999985E-03
+49.07695000E-03,-687.49999985E-03
+49.07700000E-03,-624.99999954E-03
+49.07705000E-03,-437.49999969E-03
+49.07710000E-03,-312.50000000E-03
+49.07715000E-03,-312.49999968E-03
+49.07720000E-03,-187.49999952E-03
+49.07725000E-03,+160E-12
+49.07730000E-03,+62.50000017E-03
+49.07735000E-03,+125.00000017E-03
+49.07740000E-03,+187.50000034E-03
+49.07745000E-03,+312.50000034E-03
+49.07750000E-03,+437.50000034E-03
+49.07755000E-03,+562.50000017E-03
+49.07760000E-03,+625.00000053E-03
+49.07765000E-03,+812.50000018E-03
+49.07770000E-03,+875.00000036E-03
+49.07775000E-03,+1.00000000000E+00
+49.07780000E-03,+1.00000000055E+00
+49.07785000E-03,+1.18750000018E+00
+49.07790000E-03,+1.25000000037E+00
+49.07795000E-03,+1.37500000019E+00
+49.07800000E-03,+1.43750000038E+00
+49.07805000E-03,+1.56250000019E+00
+49.07810000E-03,+1.62500000058E+00
+49.07815000E-03,+1.81250000000E+00
+49.07820000E-03,+1.81250000040E+00
+49.07825000E-03,+1.93750000040E+00
+49.07830000E-03,+2.06250000020E+00
+49.07835000E-03,+2.12500000020E+00
+49.07840000E-03,+2.18750000041E+00
+49.07845000E-03,+2.31250000041E+00
+49.07850000E-03,+2.43750000021E+00
+49.07855000E-03,+2.50000000000E+00
+49.07860000E-03,+2.50000000042E+00
+49.07865000E-03,+2.62500000043E+00
+49.07870000E-03,+2.75000000022E+00
+49.07875000E-03,+2.81250000022E+00
+49.07880000E-03,+2.87500000022E+00
+49.07885000E-03,+2.93750000022E+00
+49.07890000E-03,+3.00000000022E+00
+49.07895000E-03,+3.06250000022E+00
+49.07900000E-03,+3.12500000023E+00
+49.07905000E-03,+3.18750000068E+00
+49.07910000E-03,+3.37500000000E+00
+49.07915000E-03,+3.37500000000E+00
+49.07920000E-03,+3.37500000047E+00
+49.07925000E-03,+3.50000000000E+00
+49.07930000E-03,+3.50000000047E+00
+49.07935000E-03,+3.62499999976E+00
+49.07940000E-03,+3.56250000048E+00
