x-axis,MATH
Hertz,dBV
+800.00E+00,-37.92969E+00
+820.00E+00,-25.42969E+00
+840.00E+00,-17.39746E+00
+860.00E+00,-13.14209E+00
+880.00E+00,-9.37500E+00
+900.00E+00,-7.23633E+00
+920.00E+00,-5.24170E+00
+940.00E+00,-4.09180E+00
+960.00E+00,-3.36426E+00
+980.00E+00,-2.95410E+00
+1.00000E+03,-3.33252E+00
+1.02000E+03,-3.76221E+00
+1.04000E+03,-5.14404E+00
+1.06000E+03,-6.80908E+00
+1.08000E+03,-9.14795E+00
+1.10000E+03,-12.48291E+00
+1.12000E+03,-15.91797E+00
+1.14000E+03,-24.51904E+00
+1.16000E+03,-33.64746E+00
+1.18000E+03,-37.36816E+00
+1.20000E+03,-35.96680E+00
+1.22000E+03,-34.94385E+00
+1.24000E+03,-40.74219E+00
+1.26000E+03,-46.95557E+00
+1.28000E+03,-48.00293E+00
+1.30000E+03,-46.03271E+00
+1.32000E+03,-45.45898E+00
+1.34000E+03,-50.15381E+00
+1.36000E+03,-55.15625E+00
+1.38000E+03,-54.84619E+00
+1.40000E+03,-52.75391E+00
+1.42000E+03,-52.83691E+00
+1.44000E+03,-56.91650E+00
+1.46000E+03,-61.28906E+00
+1.48000E+03,-59.95117E+00
+1.50000E+03,-57.82959E+00
+1.52000E+03,-58.35449E+00
+1.54000E+03,-61.73096E+00
+1.56000E+03,-64.95605E+00
+1.58000E+03,-62.99561E+00
+1.60000E+03,-60.72754E+00
+1.62000E+03,-61.39160E+00
+1.64000E+03,-64.00879E+00
+1.66000E+03,-65.86426E+00
+1.68000E+03,-63.85254E+00
+1.70000E+03,-61.62354E+00
+1.72000E+03,-62.69287E+00
+1.74000E+03,-65.04395E+00
+1.76000E+03,-64.79248E+00
+1.78000E+03,-58.75977E+00
+1.80000E+03,-52.35352E+00
+1.82000E+03,-47.99805E+00
+1.84000E+03,-44.03564E+00
+1.86000E+03,-40.93262E+00
+1.88000E+03,-38.83789E+00
+1.90000E+03,-36.80664E+00
+1.92000E+03,-35.87402E+00
+1.94000E+03,-35.01465E+00
+1.96000E+03,-34.77783E+00
+1.98000E+03,-34.94873E+00
+2.00000E+03,-35.36377E+00
+2.02000E+03,-36.81885E+00
+2.04000E+03,-38.30566E+00
+2.06000E+03,-41.03516E+00
+2.08000E+03,-44.28711E+00
+2.10000E+03,-48.92334E+00
+2.12000E+03,-56.79932E+00
+2.14000E+03,-64.88525E+00
+2.16000E+03,-67.18506E+00
+2.18000E+03,-68.18359E+00
+2.20000E+03,-71.42822E+00
+2.22000E+03,-77.93945E+00
+2.24000E+03,-84.69482E+00
+2.26000E+03,-84.49463E+00
+2.28000E+03,-83.75732E+00
+2.30000E+03,-84.11377E+00
+2.32000E+03,-85.49561E+00
+2.34000E+03,-86.79443E+00
+2.36000E+03,-87.20459E+00
+2.38000E+03,-87.51953E+00
+2.40000E+03,-85.89111E+00
+2.42000E+03,-83.18115E+00
+2.44000E+03,-82.16553E+00
+2.46000E+03,-86.17432E+00
+2.48000E+03,-90.51025E+00
+2.50000E+03,-93.71094E+00
+2.52000E+03,-96.61621E+00
+2.54000E+03,-95.40527E+00
+2.56000E+03,-87.54883E+00
+2.58000E+03,-79.23096E+00
+2.60000E+03,-78.60107E+00
+2.62000E+03,-78.85010E+00
+2.64000E+03,-77.80518E+00
+2.66000E+03,-75.50049E+00
+2.68000E+03,-73.30078E+00
+2.70000E+03,-73.01758E+00
+2.72000E+03,-72.82471E+00
+2.74000E+03,-69.18701E+00
+2.76000E+03,-63.52539E+00
+2.78000E+03,-57.96387E+00
+2.80000E+03,-53.14941E+00
+2.82000E+03,-48.42041E+00
+2.84000E+03,-45.48828E+00
+2.86000E+03,-43.18848E+00
+2.88000E+03,-41.32568E+00
+2.90000E+03,-40.29541E+00
+2.92000E+03,-39.31885E+00
+2.94000E+03,-39.36768E+00
+2.96000E+03,-39.52148E+00
+2.98000E+03,-40.22705E+00
+3.00000E+03,-41.48193E+00
+3.02000E+03,-42.84424E+00
+3.04000E+03,-45.67627E+00
+3.06000E+03,-48.64258E+00
+3.08000E+03,-53.73535E+00
+3.10000E+03,-60.28809E+00
+3.12000E+03,-66.08643E+00
+3.14000E+03,-68.23975E+00
+3.16000E+03,-70.15381E+00
+3.18000E+03,-72.91016E+00
+3.20000E+03,-75.94238E+00
+3.22000E+03,-78.65967E+00
+3.24000E+03,-80.47607E+00
+3.26000E+03,-82.27051E+00
+3.28000E+03,-86.22803E+00
+3.30000E+03,-90.54932E+00
+3.32000E+03,-90.93018E+00
+3.34000E+03,-86.14014E+00
+3.36000E+03,-81.20605E+00
+3.38000E+03,-83.16895E+00
+3.40000E+03,-85.62744E+00
+3.42000E+03,-86.29395E+00
+3.44000E+03,-85.63232E+00
+3.46000E+03,-85.95215E+00
+3.48000E+03,-92.27539E+00
+3.50000E+03,-99.03076E+00
+3.52000E+03,-97.84180E+00
+3.54000E+03,-92.97363E+00
+3.56000E+03,-89.90967E+00
